"table","mainElement","element","minOccurs","maxOccurs","type","description"
"veg-community","name","name",NA,NA,"xsd:string","A textual label for a community type. Community types represent recurring assemblages of plant species. They may be designated by syntaxa or physiognomic types."
"veg-community","citationID","citationID","0",NA,"xsd:string",NA
"veg-community","rank","rank","0",NA,"xsd:string",NA
"veg-community","commonName","commonName","0",NA,"xsd:string",NA
"veg-community","plotObservationID","plotObservationID",NA,NA,"xsd:string","A reference to a specific plotObservation. The individual plotObservation is defined within the element veg:plotObservations which is a container for all plotObservations within the dataset."
"veg-community","stratumObservationID","stratumObservationID","0","1","xsd:string","A reference to a specific stratumObservation. This element may be used to specify that the community determination applies to a specific stratum."
"veg-community","determinationDate","determinationDate","0","1","xsd:date","The start date of this specific community determination. Recorded in ISO 8601 date format: yyyy-mm-dd."
"veg-community","determinationPartyID","determinationPartyID","0","unbounded","xsd:string","A link to the community determination party by ID"
"veg-community","determinationNote","determinationNote","0","unbounded","misc:noteType",NA
"veg-community","communityRelationshipAssertion","communityRelationshipAssertion",NA,"unbounded",NA,"A container for applying one or more communityConcepts to a plotObservation"
"veg-community","communityRelationshipAssertion","communityConceptID",NA,NA,"xsd:string","A link to a community concept by ID. "
"veg-community","communityRelationshipAssertion","fit","0",NA,"xsd:string","Indicates the degree of fit with the community concept being assigned. Values derive from Gopal, S., and Woodcock, C. (1994), Theory and methods for accuracy assessment of thematic maps using fuzzy sets. Photogrammetric Engineering and Remote Sensing 60(2):181-188. "
"veg-community","communityRelationshipAssertion","confidence","0",NA,"xsd:string","Indicates the degree of confidence of the interpreter(s) in the interpretation made. This can reflect the level of familiarity with the classification or the sufficiency of information about the plot (e.g., High, Moderate, Low). "
"veg-community","communityRelationshipAssertion","accordingTo","0",NA,"xsd:string","Information about the authorship of the asserted community concept."
"veg-misc","citationString","citationString",NA,NA,"xsd:string","a citation string that should be parsed to derive authors, year, title, etc."
"veg-misc","DOI","DOI","0","1","xsd:string","A string of the DOI uniquely identifying the document."
"veg-misc","individualName","individualName",NA,NA,"xsd:string","The full name of the person being described"
"veg-misc","organizationName","organizationName",NA,NA,"xsd:string","The full name of the organization being described"
"veg-misc","positionName","positionName",NA,NA,"xsd:string","The name of the title or position associated with the resource."
"veg-misc","address","address","0","unbounded","xsd:string","The full address information for a given responsible party entry."
"veg-misc","phone","phone","0","unbounded","xsd:string","Information about the contact's telephone."
"veg-misc","electronicMailAddress","electronicMailAddress","0","unbounded","xsd:string","The email address of the contact."
"veg-misc","onlineURL","onlineURL","0","unbounded","xsd:anyURI","A link to associated online information, usually a web site."
"veg-misc","title","title",NA,NA,"xsd:string","Title of the project."
"veg-misc","personnel","personnel","0","unbounded","partyWithRoleType","Contact and role information for people involved in the research project."
"veg-misc","abstract","abstract","0","1","xsd:string","A brief description of the aims and findings of the project."
"veg-misc","funding","funding","0","1","xsd:string","Funding information."
"veg-misc","studyAreaDescription","studyAreaDescription","0","1","xsd:string","Description of the physical area associated with the research project, potentially including coverage, climate, geology, distrubances, etc."
"veg-misc","designDescription","designDescription","0","1","xsd:string","Description of the design of the research project (specially overall plot placement)."
"veg-misc","relatedProjectID","relatedProjectID","0","unbounded","xsd:string","A link to another project, by ID."
"veg-misc","documentCitationID","documentCitationID","0","unbounded","xsd:string","A link, by ID, to the citation of a document describing the project."
"veg-misc","relativeX","relativeX",NA,NA,"xsd:decimal","The X-coordinate of the related items position in meters. The user will enter the relative position of related item with respect to the plot origin (in meters) with the x-axis defined by the plot azimuth."
"veg-misc","relativeY","relativeY",NA,NA,"xsd:decimal","The Y-coordinate of the related items position in metres. The user will enter the relative position of related item with respect to the plot origin (in meters) with the y-axis defined by the plot azimuth."
"veg-misc","relativeZ","relativeZ","0",NA,"xsd:decimal","The Z-coordinate of the related items position in metres. The user will enter the relative position of related item with respect to the plot origin (in meters) with the z-axis defined by the plot azimuth."
"veg-misc","relatedItemID","relatedItemID",NA,NA,"xsd:string","A reference to a specific related item. This would be the item identifer elsewhere in the schema in most cases."
"veg-misc","itemRelationship","itemRelationship",NA,NA,"xsd:string","The type of relationship e.g. relationships such as fused stems, epiphytic, forked stems, epicormic stems. "
"veg-misc","name","name",NA,NA,"xsd:string","The name of the user defined variable"
"veg-misc","value","value",NA,NA,"xsd:string","The value of the user-defined variable."
"veg-misc","methodID","methodID",NA,NA,"xsd:string","A reference to a specific method used to measure the user defined type. The individual method is defined within the element veg:method which is a container for all methods within the dataset."
"veg-misc","attributeID","attributeID",NA,NA,"xsd:string","Allows a measurement value to be qualified (type, units, method, etc.)."
"veg-misc","partyID","partyID",NA,NA,"xsd:string","A reference to a specific party. The individual party is defined with the element veg:partys which is a container for all the parties within the dataset."
"veg-misc","role","role",NA,NA,"xsd:string","Based on the the eml-party module - The role code field provides information on how a person or organization is related to a resource. "
"veg-misc","text","text",NA,NA,"xsd:string","The text of the additional comments or explanations."
"veg-misc","date","date",NA,NA,"xsd:date","The date on which the note was stored in the database. Recorded in ISO 8601 date format: yyyy-mm-dd."
"veg-misc","type","type","0",NA,"xsd:string","The type of note: Database Management, Observation Author, Database User and Internal."
"veg-misc","partyID","partyID","0",NA,"xsd:string","A reference to the specific individual who contributed the note.  The identity of the contributor is defined within the element veg:parties [EML] which is a container for all parties within the dataset."
"veg-misc","value","value",NA,NA,"xsd:string","A string representing a category."
"veg-misc","qualitativeAttributeID","qualitativeAttributeID","0","1","xsd:string","Reference to a qualitative attribute (whose element 'code' should be the same as 'value'). Used to indicate that the value is one among a set of predefined classes."
"veg-misc","value","value",NA,NA,"xsd:string","The amount or extent of a specified measurement of a quantity. Usually numeric, but may be a code if the attribute is ordinal or qualitative."
"veg-misc","attributeID","attributeID",NA,NA,"xsd:string","Allows a measurement value to be qualified (type, units, method, etc.)."
"veg-misc","accuracy","accuracy","0",NA,"xsd:string","The closeness of the estimate or measurement to its true (but unknown) value"
